patient_id,window,forecasting_modality,train_hours,alpha_reg,kernel_hour,kernel_day
40,60,ah|ah,,0.01,3,3
40,60,ah|ah,,0.01,3,7
40,60,ah|ah,,0.01,6,1
40,60,ah|ah,,0.01,6,3
40,60,ah|ah,,0.01,6,7
40,60,ah|ah,,0.01,12,1
40,60,ah|ah,,0.01,12,3
40,60,ah|ah,,0.01,12,7
40,60,ah|ah,,0.1,3,1
40,60,ah|ah,,0.1,3,3
40,60,ah|ah,,0.1,3,7
40,60,ah|ah,,0.1,6,1
40,60,ah|ah,,0.1,6,3
40,60,ah|ah,,0.1,6,7
40,60,ah|ah,,0.1,12,1
40,60,ah|ah,,0.1,12,3
40,60,ah|ah,,0.1,12,7
40,60,a|ah,24.0,0.001,3,1
40,60,a|ah,24.0,0.001,3,3
40,60,a|ah,24.0,0.001,3,7
40,60,a|ah,24.0,0.001,6,1
40,60,a|ah,24.0,0.001,6,3
40,60,a|ah,24.0,0.001,6,7
40,60,a|ah,24.0,0.001,12,1
40,60,a|ah,24.0,0.001,12,3
40,60,a|ah,24.0,0.001,12,7
40,60,a|ah,24.0,0.01,3,1
40,60,a|ah,24.0,0.01,3,3
40,60,a|ah,24.0,0.01,3,7
40,60,a|ah,24.0,0.01,6,1
40,60,a|ah,24.0,0.01,6,3
40,60,a|ah,24.0,0.01,6,7
40,60,a|ah,24.0,0.01,12,1
40,60,a|ah,24.0,0.01,12,3
40,60,a|ah,24.0,0.01,12,7
40,60,a|ah,24.0,0.1,3,1
40,60,a|ah,24.0,0.1,3,3
40,60,a|ah,24.0,0.1,3,7
40,60,a|ah,24.0,0.1,6,1
40,60,a|ah,24.0,0.1,6,3
40,60,a|ah,24.0,0.1,6,7
40,60,a|ah,24.0,0.1,12,1
40,60,a|ah,24.0,0.1,12,3
40,60,a|ah,24.0,0.1,12,7
40,60,a|ah,48.0,0.001,3,1
40,60,a|ah,48.0,0.001,3,3
40,60,a|ah,48.0,0.001,3,7
40,60,a|ah,48.0,0.001,6,1
40,60,a|ah,48.0,0.001,6,3
40,60,a|ah,48.0,0.001,6,7
40,60,a|ah,48.0,0.001,12,1
40,60,a|ah,48.0,0.001,12,3
40,60,a|ah,48.0,0.001,12,7
40,60,a|ah,48.0,0.01,3,1
40,60,a|ah,48.0,0.01,3,3
40,60,a|ah,48.0,0.01,3,7
40,60,a|ah,48.0,0.01,6,1
40,60,a|ah,48.0,0.01,6,3
40,60,a|ah,48.0,0.01,6,7
40,60,a|ah,48.0,0.01,12,1
40,60,a|ah,48.0,0.01,12,3
40,60,a|ah,48.0,0.01,12,7
40,60,a|ah,48.0,0.1,3,1
40,60,a|ah,48.0,0.1,3,3
40,60,a|ah,48.0,0.1,3,7
40,60,a|ah,48.0,0.1,6,1
40,60,a|ah,48.0,0.1,6,3
40,60,a|ah,48.0,0.1,6,7
40,60,a|ah,48.0,0.1,12,1
40,60,a|ah,48.0,0.1,12,3
40,60,a|ah,48.0,0.1,12,7
40,60,a|ah,72.0,0.001,3,1
40,60,a|ah,72.0,0.001,3,3
40,60,a|ah,72.0,0.001,3,7
40,60,a|ah,72.0,0.001,6,1
40,60,a|ah,72.0,0.001,6,3
40,60,a|ah,72.0,0.001,6,7
40,60,a|ah,72.0,0.001,12,1
40,60,a|ah,72.0,0.001,12,3
40,60,a|ah,72.0,0.001,12,7
40,60,a|ah,72.0,0.01,3,1
40,60,a|ah,72.0,0.01,3,3
40,60,a|ah,72.0,0.01,3,7
40,60,a|ah,72.0,0.01,6,1
40,60,a|ah,72.0,0.01,6,3
40,60,a|ah,72.0,0.01,6,7
40,60,a|ah,72.0,0.01,12,1
40,60,a|ah,72.0,0.01,12,3
40,60,a|ah,72.0,0.01,12,7
40,60,a|ah,72.0,0.1,3,1
40,60,a|ah,72.0,0.1,3,3
40,60,a|ah,72.0,0.1,3,7
40,60,a|ah,72.0,0.1,6,1
40,60,a|ah,72.0,0.1,6,3
40,60,a|ah,72.0,0.1,6,7
40,60,a|ah,72.0,0.1,12,1
40,60,a|ah,72.0,0.1,12,3
40,60,a|ah,72.0,0.1,12,7
40,60,a|ah,120.0,0.001,3,1
40,60,a|ah,120.0,0.001,3,3
40,60,a|ah,120.0,0.001,3,7
40,60,a|ah,120.0,0.001,6,1
40,60,a|ah,120.0,0.001,6,3
40,60,a|ah,120.0,0.001,6,7
40,60,a|ah,120.0,0.001,12,1
40,60,a|ah,120.0,0.001,12,3
40,60,a|ah,120.0,0.001,12,7
40,60,a|ah,120.0,0.01,3,1
40,60,a|ah,120.0,0.01,3,3
40,60,a|ah,120.0,0.01,3,7
40,60,a|ah,120.0,0.01,6,1
40,60,a|ah,120.0,0.01,6,3
40,60,a|ah,120.0,0.01,6,7
40,60,a|ah,120.0,0.01,12,1
40,60,a|ah,120.0,0.01,12,3
40,60,a|ah,120.0,0.01,12,7
40,60,a|ah,120.0,0.1,3,1
40,60,a|ah,120.0,0.1,3,3
40,60,a|ah,120.0,0.1,3,7
40,60,a|ah,120.0,0.1,6,1
40,60,a|ah,120.0,0.1,6,3
40,60,a|ah,120.0,0.1,6,7
40,60,a|ah,120.0,0.1,12,1
40,60,a|ah,120.0,0.1,12,3
40,60,a|ah,120.0,0.1,12,7
40,60,a|ah,240.0,0.001,3,1
40,60,a|ah,240.0,0.001,3,3
40,60,a|ah,240.0,0.001,3,7
40,60,a|ah,240.0,0.001,6,1
40,60,a|ah,240.0,0.001,6,3
40,60,a|ah,240.0,0.001,6,7
40,60,a|ah,240.0,0.001,12,1
40,60,a|ah,240.0,0.001,12,3
40,60,a|ah,240.0,0.001,12,7
40,60,a|ah,240.0,0.01,3,1
40,60,a|ah,240.0,0.01,3,3
40,60,a|ah,240.0,0.01,3,7
40,60,a|ah,240.0,0.01,6,1
40,60,a|ah,240.0,0.01,6,3
40,60,a|ah,240.0,0.01,6,7
40,60,a|ah,240.0,0.01,12,1
40,60,a|ah,240.0,0.01,12,3
40,60,a|ah,240.0,0.01,12,7
40,60,a|ah,240.0,0.1,3,1
40,60,a|ah,240.0,0.1,3,3
40,60,a|ah,240.0,0.1,3,7
40,60,a|ah,240.0,0.1,6,1
40,60,a|ah,240.0,0.1,6,3
40,60,a|ah,240.0,0.1,6,7
40,60,a|ah,240.0,0.1,12,1
40,60,a|ah,240.0,0.1,12,3
40,60,a|ah,240.0,0.1,12,7
40,60,a|ah,,0.001,3,1
40,60,a|ah,,0.001,3,3
40,60,a|ah,,0.001,3,7
40,60,a|ah,,0.001,6,1
40,60,a|ah,,0.001,6,3
40,60,a|ah,,0.001,6,7
40,60,a|ah,,0.001,12,1
40,60,a|ah,,0.001,12,3
40,60,a|ah,,0.001,12,7
40,60,a|ah,,0.01,3,1
40,60,a|ah,,0.01,3,3
40,60,a|ah,,0.01,3,7
40,60,a|ah,,0.01,6,1
40,60,a|ah,,0.01,6,3
40,60,a|ah,,0.01,6,7
40,60,a|ah,,0.01,12,1
40,60,a|ah,,0.01,12,3
40,60,a|ah,,0.01,12,7
40,60,a|ah,,0.1,3,1
40,60,a|ah,,0.1,3,3
40,60,a|ah,,0.1,3,7
40,60,a|ah,,0.1,6,1
40,60,a|ah,,0.1,6,3
40,60,a|ah,,0.1,6,7
40,60,a|ah,,0.1,12,1
40,60,a|ah,,0.1,12,3
40,60,a|ah,,0.1,12,7
40,60,a|a,24.0,0.001,3,1
40,60,a|a,24.0,0.001,3,3
40,60,a|a,24.0,0.001,3,7
40,60,a|a,24.0,0.001,6,1
40,60,a|a,24.0,0.001,6,3
40,60,a|a,24.0,0.001,6,7
40,60,a|a,24.0,0.001,12,1
40,60,a|a,24.0,0.001,12,3
40,60,a|a,24.0,0.001,12,7
40,60,a|a,24.0,0.01,3,1
40,60,a|a,24.0,0.01,3,3
40,60,a|a,24.0,0.01,3,7
40,60,a|a,24.0,0.01,6,1
40,60,a|a,24.0,0.01,6,3
40,60,a|a,24.0,0.01,6,7
40,60,a|a,24.0,0.01,12,1
40,60,a|a,24.0,0.01,12,3
40,60,a|a,24.0,0.01,12,7
40,60,a|a,24.0,0.1,3,1
40,60,a|a,24.0,0.1,3,3
40,60,a|a,24.0,0.1,3,7
40,60,a|a,24.0,0.1,6,1
40,60,a|a,24.0,0.1,6,3
40,60,a|a,24.0,0.1,6,7
40,60,a|a,24.0,0.1,12,1
40,60,a|a,24.0,0.1,12,3
40,60,a|a,24.0,0.1,12,7
40,60,a|a,48.0,0.001,3,1
40,60,a|a,48.0,0.001,3,3
40,60,a|a,48.0,0.001,3,7
40,60,a|a,48.0,0.001,6,1
40,60,a|a,48.0,0.001,6,3
40,60,a|a,48.0,0.001,6,7
40,60,a|a,48.0,0.001,12,1
40,60,a|a,48.0,0.001,12,3
40,60,a|a,48.0,0.001,12,7
40,60,a|a,48.0,0.01,3,1
40,60,a|a,48.0,0.01,3,3
40,60,a|a,48.0,0.01,3,7
40,60,a|a,48.0,0.01,6,1
40,60,a|a,48.0,0.01,6,3
40,60,a|a,48.0,0.01,6,7
40,60,a|a,48.0,0.01,12,1
40,60,a|a,48.0,0.01,12,3
40,60,a|a,48.0,0.01,12,7
40,60,a|a,48.0,0.1,3,1
40,60,a|a,48.0,0.1,3,3
40,60,a|a,48.0,0.1,3,7
40,60,a|a,48.0,0.1,6,1
40,60,a|a,48.0,0.1,6,3
40,60,a|a,48.0,0.1,6,7
40,60,a|a,48.0,0.1,12,1
40,60,a|a,48.0,0.1,12,3
40,60,a|a,48.0,0.1,12,7
40,60,a|a,72.0,0.001,3,1
40,60,a|a,72.0,0.001,3,3
40,60,a|a,72.0,0.001,3,7
40,60,a|a,72.0,0.001,6,1
40,60,a|a,72.0,0.001,6,3
40,60,a|a,72.0,0.001,6,7
40,60,a|a,72.0,0.001,12,1
40,60,a|a,72.0,0.001,12,3
40,60,a|a,72.0,0.001,12,7
40,60,a|a,72.0,0.01,3,1
40,60,a|a,72.0,0.01,3,3
40,60,a|a,72.0,0.01,3,7
40,60,a|a,72.0,0.01,6,1
40,60,a|a,72.0,0.01,6,3
40,60,a|a,72.0,0.01,6,7
40,60,a|a,72.0,0.01,12,1
40,60,a|a,72.0,0.01,12,3
40,60,a|a,72.0,0.01,12,7
40,60,a|a,72.0,0.1,3,1
40,60,a|a,72.0,0.1,3,3
40,60,a|a,72.0,0.1,3,7
40,60,a|a,72.0,0.1,6,1
40,60,a|a,72.0,0.1,6,3
40,60,a|a,72.0,0.1,6,7
40,60,a|a,72.0,0.1,12,1
40,60,a|a,72.0,0.1,12,3
40,60,a|a,72.0,0.1,12,7
40,60,a|a,120.0,0.001,3,1
40,60,a|a,120.0,0.001,3,3
40,60,a|a,120.0,0.001,3,7
40,60,a|a,120.0,0.001,6,1
40,60,a|a,120.0,0.001,6,3
40,60,a|a,120.0,0.001,6,7
40,60,a|a,120.0,0.001,12,1
40,60,a|a,120.0,0.001,12,3
40,60,a|a,120.0,0.001,12,7
40,60,a|a,120.0,0.01,3,1
40,60,a|a,120.0,0.01,3,3
40,60,a|a,120.0,0.01,3,7
40,60,a|a,120.0,0.01,6,1
40,60,a|a,120.0,0.01,6,3
40,60,a|a,120.0,0.01,6,7
40,60,a|a,120.0,0.01,12,1
40,60,a|a,120.0,0.01,12,3
40,60,a|a,120.0,0.01,12,7
40,60,a|a,120.0,0.1,3,1
40,60,a|a,120.0,0.1,3,3
40,60,a|a,120.0,0.1,3,7
40,60,a|a,120.0,0.1,6,1
40,60,a|a,120.0,0.1,6,3
40,60,a|a,120.0,0.1,6,7
40,60,a|a,120.0,0.1,12,1
40,60,a|a,120.0,0.1,12,3
40,60,a|a,120.0,0.1,12,7
40,60,a|a,240.0,0.001,3,1
40,60,a|a,240.0,0.001,3,3
40,60,a|a,240.0,0.001,3,7
40,60,a|a,240.0,0.001,6,1
40,60,a|a,240.0,0.001,6,3
40,60,a|a,240.0,0.001,6,7
40,60,a|a,240.0,0.001,12,1
40,60,a|a,240.0,0.001,12,3
40,60,a|a,240.0,0.001,12,7
40,60,a|a,240.0,0.01,3,1
40,60,a|a,240.0,0.01,3,3
40,60,a|a,240.0,0.01,3,7
40,60,a|a,240.0,0.01,6,1
40,60,a|a,240.0,0.01,6,3
40,60,a|a,240.0,0.01,6,7
40,60,a|a,240.0,0.01,12,1
40,60,a|a,240.0,0.01,12,3
40,60,a|a,240.0,0.01,12,7
40,60,a|a,240.0,0.1,3,1
40,60,a|a,240.0,0.1,3,3
40,60,a|a,240.0,0.1,3,7
40,60,a|a,240.0,0.1,6,1
40,60,a|a,240.0,0.1,6,3
40,60,a|a,240.0,0.1,6,7
40,60,a|a,240.0,0.1,12,1
40,60,a|a,240.0,0.1,12,3
40,60,a|a,240.0,0.1,12,7
40,60,a|a,,0.001,3,1
40,60,a|a,,0.001,3,3
40,60,a|a,,0.001,3,7
40,60,a|a,,0.001,6,1
40,60,a|a,,0.001,6,3
40,60,a|a,,0.001,6,7
40,60,a|a,,0.001,12,1
40,60,a|a,,0.001,12,3
40,60,a|a,,0.001,12,7
40,60,a|a,,0.01,3,1
40,60,a|a,,0.01,3,3
40,60,a|a,,0.01,3,7
40,60,a|a,,0.01,6,1
40,60,a|a,,0.01,6,3
40,60,a|a,,0.01,6,7
40,60,a|a,,0.01,12,1
40,60,a|a,,0.01,12,3
40,60,a|a,,0.01,12,7
40,60,a|a,,0.1,3,1
40,60,a|a,,0.1,3,3
40,60,a|a,,0.1,3,7
40,60,a|a,,0.1,6,1
40,60,a|a,,0.1,6,3
40,60,a|a,,0.1,6,7
40,60,a|a,,0.1,12,1
40,60,a|a,,0.1,12,3
40,60,a|a,,0.1,12,7
40,60,a|h,24.0,0.001,3,1
40,60,a|h,24.0,0.001,3,3
40,60,a|h,24.0,0.001,3,7
40,60,a|h,24.0,0.001,6,1
40,60,a|h,24.0,0.001,6,3
40,60,a|h,24.0,0.001,6,7
40,60,a|h,24.0,0.001,12,1
40,60,a|h,24.0,0.001,12,3
40,60,a|h,24.0,0.001,12,7
40,60,a|h,24.0,0.01,3,1
40,60,a|h,24.0,0.01,3,3
40,60,a|h,24.0,0.01,3,7
40,60,a|h,24.0,0.01,6,1
40,60,a|h,24.0,0.01,6,3
40,60,a|h,24.0,0.01,6,7
40,60,a|h,24.0,0.01,12,1
40,60,a|h,24.0,0.01,12,3
40,60,a|h,24.0,0.01,12,7
40,60,a|h,24.0,0.1,3,1
40,60,a|h,24.0,0.1,3,3
40,60,a|h,24.0,0.1,3,7
40,60,a|h,24.0,0.1,6,1
40,60,a|h,24.0,0.1,6,3
40,60,a|h,24.0,0.1,6,7
40,60,a|h,24.0,0.1,12,1
40,60,a|h,24.0,0.1,12,3
40,60,a|h,24.0,0.1,12,7
40,60,a|h,48.0,0.001,3,1
40,60,a|h,48.0,0.001,3,3
40,60,a|h,48.0,0.001,3,7
40,60,a|h,48.0,0.001,6,1
40,60,a|h,48.0,0.001,6,3
40,60,a|h,48.0,0.001,6,7
40,60,a|h,48.0,0.001,12,1
40,60,a|h,48.0,0.001,12,3
40,60,a|h,48.0,0.001,12,7
40,60,a|h,48.0,0.01,3,1
40,60,a|h,48.0,0.01,3,3
40,60,a|h,48.0,0.01,3,7
40,60,a|h,48.0,0.01,6,1
40,60,a|h,48.0,0.01,6,3
40,60,a|h,48.0,0.01,6,7
40,60,a|h,48.0,0.01,12,1
40,60,a|h,48.0,0.01,12,3
40,60,a|h,48.0,0.01,12,7
40,60,a|h,48.0,0.1,3,1
40,60,a|h,48.0,0.1,3,3
40,60,a|h,48.0,0.1,3,7
40,60,a|h,48.0,0.1,6,1
40,60,a|h,48.0,0.1,6,3
40,60,a|h,48.0,0.1,6,7
40,60,a|h,48.0,0.1,12,1
40,60,a|h,48.0,0.1,12,3
40,60,a|h,48.0,0.1,12,7
40,60,a|h,72.0,0.001,3,1
40,60,a|h,72.0,0.001,3,3
40,60,a|h,72.0,0.001,3,7
40,60,a|h,72.0,0.001,6,1
40,60,a|h,72.0,0.001,6,3
40,60,a|h,72.0,0.001,6,7
40,60,a|h,72.0,0.001,12,1
40,60,a|h,72.0,0.001,12,3
40,60,a|h,72.0,0.001,12,7
40,60,a|h,72.0,0.01,3,1
40,60,a|h,72.0,0.01,3,3
40,60,a|h,72.0,0.01,3,7
40,60,a|h,72.0,0.01,6,1
40,60,a|h,72.0,0.01,6,3
40,60,a|h,72.0,0.01,6,7
40,60,a|h,72.0,0.01,12,1
40,60,a|h,72.0,0.01,12,3
40,60,a|h,72.0,0.01,12,7
40,60,a|h,72.0,0.1,3,1
40,60,a|h,72.0,0.1,3,3
40,60,a|h,72.0,0.1,3,7
40,60,a|h,72.0,0.1,6,1
40,60,a|h,72.0,0.1,6,3
40,60,a|h,72.0,0.1,6,7
40,60,a|h,72.0,0.1,12,1
40,60,a|h,72.0,0.1,12,3
40,60,a|h,72.0,0.1,12,7
40,60,a|h,120.0,0.001,3,1
40,60,a|h,120.0,0.001,3,3
40,60,a|h,120.0,0.001,3,7
40,60,a|h,120.0,0.001,6,1
40,60,a|h,120.0,0.001,6,3
40,60,a|h,120.0,0.001,6,7
40,60,a|h,120.0,0.001,12,1
40,60,a|h,120.0,0.001,12,3
40,60,a|h,120.0,0.001,12,7
40,60,a|h,120.0,0.01,3,1
40,60,a|h,120.0,0.01,3,3
40,60,a|h,120.0,0.01,3,7
40,60,a|h,120.0,0.01,6,1
40,60,a|h,120.0,0.01,6,3
40,60,a|h,120.0,0.01,6,7
40,60,a|h,120.0,0.01,12,1
40,60,a|h,120.0,0.01,12,3
40,60,a|h,120.0,0.01,12,7
40,60,a|h,120.0,0.1,3,1
40,60,a|h,120.0,0.1,3,3
40,60,a|h,120.0,0.1,3,7
40,60,a|h,120.0,0.1,6,1
40,60,a|h,120.0,0.1,6,3
40,60,a|h,120.0,0.1,6,7
40,60,a|h,120.0,0.1,12,1
40,60,a|h,120.0,0.1,12,3
40,60,a|h,120.0,0.1,12,7
40,60,a|h,240.0,0.001,3,1
40,60,a|h,240.0,0.001,3,3
40,60,a|h,240.0,0.001,3,7
40,60,a|h,240.0,0.001,6,1
40,60,a|h,240.0,0.001,6,3
40,60,a|h,240.0,0.001,6,7
40,60,a|h,240.0,0.001,12,1
40,60,a|h,240.0,0.001,12,3
40,60,a|h,240.0,0.001,12,7
40,60,a|h,240.0,0.01,3,1
40,60,a|h,240.0,0.01,3,3
40,60,a|h,240.0,0.01,3,7
40,60,a|h,240.0,0.01,6,1
40,60,a|h,240.0,0.01,6,3
40,60,a|h,240.0,0.01,6,7
40,60,a|h,240.0,0.01,12,1
40,60,a|h,240.0,0.01,12,3
40,60,a|h,240.0,0.01,12,7
40,60,a|h,240.0,0.1,3,1
40,60,a|h,240.0,0.1,3,3
40,60,a|h,240.0,0.1,3,7
40,60,a|h,240.0,0.1,6,1
40,60,a|h,240.0,0.1,6,3
40,60,a|h,240.0,0.1,6,7
40,60,a|h,240.0,0.1,12,1
40,60,a|h,240.0,0.1,12,3
40,60,a|h,240.0,0.1,12,7
40,60,a|h,,0.001,3,1
40,60,a|h,,0.001,3,3
40,60,a|h,,0.001,3,7
40,60,a|h,,0.001,6,1
40,60,a|h,,0.001,6,3
40,60,a|h,,0.001,6,7
40,60,a|h,,0.001,12,1
40,60,a|h,,0.001,12,3
40,60,a|h,,0.001,12,7
40,60,a|h,,0.01,3,1
40,60,a|h,,0.01,3,3
40,60,a|h,,0.01,3,7
40,60,a|h,,0.01,6,1
40,60,a|h,,0.01,6,3
40,60,a|h,,0.01,6,7
40,60,a|h,,0.01,12,1
40,60,a|h,,0.01,12,3
40,60,a|h,,0.01,12,7
40,60,a|h,,0.1,3,1
40,60,a|h,,0.1,3,3
40,60,a|h,,0.1,3,7
40,60,a|h,,0.1,6,1
40,60,a|h,,0.1,6,3
40,60,a|h,,0.1,6,7
40,60,a|h,,0.1,12,1
40,60,a|h,,0.1,12,3
40,60,a|h,,0.1,12,7
50,15,ah|ah,24.0,0.001,3,1
50,15,ah|ah,24.0,0.001,3,3
50,15,ah|ah,24.0,0.001,3,7
50,15,ah|ah,24.0,0.001,6,1
50,15,ah|ah,24.0,0.001,6,3
50,15,ah|ah,24.0,0.001,6,7
50,15,ah|ah,24.0,0.001,12,1
50,15,ah|ah,24.0,0.001,12,3
50,15,ah|ah,24.0,0.001,12,7
50,15,ah|ah,24.0,0.01,3,1
50,15,ah|ah,24.0,0.01,3,3
50,15,ah|ah,24.0,0.01,3,7
50,15,ah|ah,24.0,0.01,6,1
50,15,ah|ah,24.0,0.01,6,3
50,15,ah|ah,24.0,0.01,6,7
50,15,ah|ah,24.0,0.01,12,1
50,15,ah|ah,24.0,0.01,12,3
50,15,ah|ah,24.0,0.01,12,7
50,15,ah|ah,24.0,0.1,3,1
50,15,ah|ah,24.0,0.1,3,3
50,15,ah|ah,24.0,0.1,3,7
50,15,ah|ah,24.0,0.1,6,1
50,15,ah|ah,24.0,0.1,6,3
50,15,ah|ah,24.0,0.1,6,7
50,15,ah|ah,24.0,0.1,12,1
50,15,ah|ah,24.0,0.1,12,3
50,15,ah|ah,24.0,0.1,12,7
50,15,ah|ah,48.0,0.001,3,1
50,15,ah|ah,48.0,0.001,3,3
50,15,ah|ah,48.0,0.001,3,7
50,15,ah|ah,48.0,0.001,6,1
50,15,ah|ah,48.0,0.001,6,3
50,15,ah|ah,48.0,0.001,6,7
50,15,ah|ah,48.0,0.001,12,1
50,15,ah|ah,48.0,0.001,12,3
50,15,ah|ah,48.0,0.001,12,7
50,15,ah|ah,48.0,0.01,3,1
50,15,ah|ah,48.0,0.01,3,3
50,15,ah|ah,48.0,0.01,3,7
50,15,ah|ah,48.0,0.01,6,1
50,15,ah|ah,48.0,0.01,6,3
50,15,ah|ah,48.0,0.01,6,7
50,15,ah|ah,48.0,0.01,12,1
50,15,ah|ah,48.0,0.01,12,3
50,15,ah|ah,48.0,0.01,12,7
50,15,ah|ah,48.0,0.1,3,1
50,15,ah|ah,48.0,0.1,3,3
50,15,ah|ah,48.0,0.1,3,7
50,15,ah|ah,48.0,0.1,6,1
50,15,ah|ah,48.0,0.1,6,3
50,15,ah|ah,48.0,0.1,6,7
50,15,ah|ah,48.0,0.1,12,1
50,15,ah|ah,48.0,0.1,12,3
50,15,ah|ah,48.0,0.1,12,7
50,15,ah|ah,72.0,0.001,3,1
50,15,ah|ah,72.0,0.001,3,3
50,15,ah|ah,72.0,0.001,3,7
50,15,ah|ah,72.0,0.001,6,1
50,15,ah|ah,72.0,0.001,6,3
50,15,ah|ah,72.0,0.001,6,7
50,15,ah|ah,72.0,0.001,12,1
50,15,ah|ah,72.0,0.001,12,3
50,15,ah|ah,72.0,0.001,12,7
50,15,ah|ah,72.0,0.01,3,1
50,15,ah|ah,72.0,0.01,3,3
50,15,ah|ah,72.0,0.01,3,7
50,15,ah|ah,72.0,0.01,6,1
50,15,ah|ah,72.0,0.01,6,3
50,15,ah|ah,72.0,0.01,6,7
50,15,ah|ah,72.0,0.01,12,1
50,15,ah|ah,72.0,0.01,12,3
50,15,ah|ah,72.0,0.01,12,7
50,15,ah|ah,72.0,0.1,3,1
50,15,ah|ah,72.0,0.1,3,3
50,15,ah|ah,72.0,0.1,3,7
50,15,ah|ah,72.0,0.1,6,1
50,15,ah|ah,72.0,0.1,6,3
50,15,ah|ah,72.0,0.1,6,7
50,15,ah|ah,72.0,0.1,12,1
50,15,ah|ah,72.0,0.1,12,3
50,15,ah|ah,72.0,0.1,12,7
50,15,ah|ah,120.0,0.001,3,1
50,15,ah|ah,120.0,0.001,3,3
50,15,ah|ah,120.0,0.001,3,7
50,15,ah|ah,120.0,0.001,6,1
50,15,ah|ah,120.0,0.001,6,3
50,15,ah|ah,120.0,0.001,6,7
50,15,ah|ah,120.0,0.001,12,1
50,15,ah|ah,120.0,0.001,12,3
50,15,ah|ah,120.0,0.001,12,7
50,15,ah|ah,120.0,0.01,3,1
50,15,ah|ah,120.0,0.01,3,3
50,15,ah|ah,120.0,0.01,3,7
50,15,ah|ah,120.0,0.01,6,1
50,15,ah|ah,120.0,0.01,6,3
50,15,ah|ah,120.0,0.01,6,7
50,15,ah|ah,120.0,0.01,12,1
50,15,ah|ah,120.0,0.01,12,3
50,15,ah|ah,120.0,0.01,12,7
50,15,ah|ah,120.0,0.1,3,1
50,15,ah|ah,120.0,0.1,3,3
50,15,ah|ah,120.0,0.1,3,7
50,15,ah|ah,120.0,0.1,6,1
50,15,ah|ah,120.0,0.1,6,3
50,15,ah|ah,120.0,0.1,6,7
50,15,ah|ah,120.0,0.1,12,1
50,15,ah|ah,120.0,0.1,12,3
50,15,ah|ah,120.0,0.1,12,7
50,15,ah|ah,240.0,0.001,3,1
50,15,ah|ah,240.0,0.001,3,3
50,15,ah|ah,240.0,0.001,3,7
50,15,ah|ah,240.0,0.001,6,1
50,15,ah|ah,240.0,0.001,6,3
50,15,ah|ah,240.0,0.001,6,7
50,15,ah|ah,240.0,0.001,12,1
50,15,ah|ah,240.0,0.001,12,3
50,15,ah|ah,240.0,0.001,12,7
50,15,ah|ah,240.0,0.01,3,1
50,15,ah|ah,240.0,0.01,3,3
50,15,ah|ah,240.0,0.01,3,7
50,15,ah|ah,240.0,0.01,6,1
50,15,ah|ah,240.0,0.01,6,3
50,15,ah|ah,240.0,0.01,6,7
50,15,ah|ah,240.0,0.01,12,1
50,15,ah|ah,240.0,0.01,12,3
50,15,ah|ah,240.0,0.01,12,7
50,15,ah|ah,240.0,0.1,3,1
50,15,ah|ah,240.0,0.1,3,3
50,15,ah|ah,240.0,0.1,3,7
50,15,ah|ah,240.0,0.1,6,1
50,15,ah|ah,240.0,0.1,6,3
50,15,ah|ah,240.0,0.1,6,7
50,15,ah|ah,240.0,0.1,12,1
50,15,ah|ah,240.0,0.1,12,3
50,15,ah|ah,240.0,0.1,12,7
50,15,ah|ah,,0.001,3,1
50,15,ah|ah,,0.001,3,3
50,15,ah|ah,,0.001,3,7
50,15,ah|ah,,0.001,6,1
50,15,ah|ah,,0.001,6,3
50,15,ah|ah,,0.001,6,7
50,15,ah|ah,,0.001,12,1
50,15,ah|ah,,0.001,12,3
50,15,ah|ah,,0.001,12,7
50,15,ah|ah,,0.01,3,1
50,15,ah|ah,,0.01,3,3
50,15,ah|ah,,0.01,3,7
50,15,ah|ah,,0.01,6,1
50,15,ah|ah,,0.01,6,3
50,15,ah|ah,,0.01,6,7
50,15,ah|ah,,0.01,12,1
50,15,ah|ah,,0.01,12,3
50,15,ah|ah,,0.01,12,7
50,15,ah|ah,,0.1,3,1
50,15,ah|ah,,0.1,3,3
50,15,ah|ah,,0.1,3,7
50,15,ah|ah,,0.1,6,1
50,15,ah|ah,,0.1,6,3
50,15,ah|ah,,0.1,6,7
50,15,ah|ah,,0.1,12,1
50,15,ah|ah,,0.1,12,3
50,15,ah|ah,,0.1,12,7
50,15,a|ah,24.0,0.001,3,1
50,15,a|ah,24.0,0.001,3,3
50,15,a|ah,24.0,0.001,3,7
50,15,a|ah,24.0,0.001,6,1
50,15,a|ah,24.0,0.001,6,3
50,15,a|ah,24.0,0.001,6,7
50,15,a|ah,24.0,0.001,12,1
50,15,a|ah,24.0,0.001,12,3
50,15,a|ah,24.0,0.001,12,7
50,15,a|ah,24.0,0.01,3,1
50,15,a|ah,24.0,0.01,3,3
50,15,a|ah,24.0,0.01,3,7
50,15,a|ah,24.0,0.01,6,1
50,15,a|ah,24.0,0.01,6,3
50,15,a|ah,24.0,0.01,6,7
50,15,a|ah,24.0,0.01,12,1
50,15,a|ah,24.0,0.01,12,3
50,15,a|ah,24.0,0.01,12,7
50,15,a|ah,24.0,0.1,3,1
50,15,a|ah,24.0,0.1,3,3
50,15,a|ah,24.0,0.1,3,7
50,15,a|ah,24.0,0.1,6,1
50,15,a|ah,24.0,0.1,6,3
50,15,a|ah,24.0,0.1,6,7
